Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,
,254,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.352032",="02-Oct-17 5:32:53.028035 PM",-78.000 dBm (weak),
,255,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.349180",="02-Oct-17 5:32:53.377215 PM",-76.000 dBm (weak),
,256,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:53.378243 PM",-73.000 dBm (weak),
,257,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:53.379268 PM",-78.000 dBm (weak),
,258,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.349690",="02-Oct-17 5:32:53.728958 PM",-75.000 dBm (weak),
,259,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:53.729986 PM",-72.000 dBm (weak),
,260,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:53.731012 PM",-79.000 dBm (weak),
,261,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.357930",="02-Oct-17 5:32:54.088942 PM",-76.000 dBm (weak),
,262,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:54.089969 PM",-73.000 dBm (weak),
,263,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:54.090995 PM",-78.000 dBm (weak),
,264,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.357207",="02-Oct-17 5:32:54.448202 PM",-78.000 dBm (weak),
,265,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.711949",="02-Oct-17 5:32:55.160151 PM",-72.000 dBm (weak),
,266,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:55.161176 PM",-79.000 dBm (weak),
,267,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.352250",="02-Oct-17 5:32:55.513426 PM",-76.000 dBm (weak),
,268,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:55.514453 PM",-73.000 dBm (weak),
,269,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:55.515479 PM",-78.000 dBm (weak),
,270,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.353543",="02-Oct-17 5:32:55.869022 PM",-76.000 dBm (weak),
,271,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:55.870049 PM",-72.000 dBm (weak),
,272,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:55.871075 PM",-78.000 dBm (weak),
,273,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.352508",="02-Oct-17 5:32:56.223583 PM",-76.000 dBm (weak),
,274,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.002053",="02-Oct-17 5:32:56.225636 PM",-79.000 dBm (weak),
,275,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.349700",="02-Oct-17 5:32:56.575336 PM",-75.000 dBm (weak),
,276,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:56.576363 PM",-72.000 dBm (weak),
,277,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:56.577389 PM",-78.000 dBm (weak),
,278,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.352263",="02-Oct-17 5:32:56.929652 PM",-75.000 dBm (weak),
