Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,
,6825,1,    39 ,  39 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="03-Oct-17 4:04:09.140425 PM",-61.000 dBm (weak),
,6826,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.246156",="03-Oct-17 4:04:10.386581 PM",-69.000 dBm (weak),
,6827,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:10.387277 PM",-63.000 dBm (weak),
,6828,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:10.387975 PM",-62.000 dBm (weak),
,6829,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.242084",="03-Oct-17 4:04:11.630058 PM",-69.000 dBm (weak),
,6830,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:11.630755 PM",-64.000 dBm (weak),
,6831,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:11.631452 PM",-62.000 dBm (weak),
,6832,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:01.237955",="03-Oct-17 4:04:12.869407 PM",-62.000 dBm (weak),
,6833,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.244481",="03-Oct-17 4:04:14.113888 PM",-63.000 dBm (weak),
,6834,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:14.114585 PM",-63.000 dBm (weak),
,6835,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.269224",="03-Oct-17 4:04:15.383809 PM",-63.000 dBm (weak),
,6836,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="03-Oct-17 4:04:15.384312 PM",-32.000 dBm (strong),
,6837,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000597",="03-Oct-17 4:04:15.384909 PM",-61.000 dBm (weak),
,6838,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.212961",="03-Oct-17 4:04:16.597870 PM",-69.000 dBm (weak),
,6839,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:16.598567 PM",-63.000 dBm (weak),
,6840,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="03-Oct-17 4:04:16.599069 PM",-32.000 dBm (strong),
,6841,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="03-Oct-17 4:04:16.599395 PM",-63.000 dBm (weak),
,6842,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="03-Oct-17 4:04:16.599666 PM",-62.000 dBm (weak),
,6843,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.267590",="03-Oct-17 4:04:17.867256 PM",-69.000 dBm (weak),
,6844,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:04:17.867953 PM",-63.000 dBm (weak),
