Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,
,212,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.241681",="29-Sep-17 3:53:25.856026 PM",-82.000 dBm (weak),
,213,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:53:25.856724 PM",-80.000 dBm (weak),
,214,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:02.496134",="29-Sep-17 3:53:28.352858 PM",-80.000 dBm (weak),
,215,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.483983",="29-Sep-17 3:53:30.836841 PM",-81.000 dBm (weak),
,216,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:53:30.837538 PM",-80.000 dBm (weak),
,217,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.277646",="29-Sep-17 3:53:32.115183 PM",-82.000 dBm (weak),
,218,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:53:32.115881 PM",-80.000 dBm (weak),
,219,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.463192",="29-Sep-17 3:53:34.579072 PM",-82.000 dBm (weak),
,220,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000698",="29-Sep-17 3:53:34.579770 PM",-80.000 dBm (weak),
,221,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.252132",="29-Sep-17 3:53:35.831901 PM",-80.000 dBm (weak),
,222,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.236706",="29-Sep-17 3:53:37.068608 PM",-83.000 dBm (weak),
,223,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:53:37.069305 PM",-80.000 dBm (weak),
,224,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.258760",="29-Sep-17 3:53:38.328064 PM",-82.000 dBm (weak),
,225,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:53:38.328762 PM",-80.000 dBm (weak),
,226,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.511434",="29-Sep-17 3:53:40.840195 PM",-81.000 dBm (weak),
,227,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.461230",="29-Sep-17 3:53:43.301426 PM",-84.000 dBm (weak),
,228,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:53:43.302123 PM",-79.000 dBm (weak),
,229,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.255086",="29-Sep-17 3:53:44.557208 PM",-81.000 dBm (weak),
,230,1,    39 ,  39 ,SUCCESS,No,,1M,14,48,=" 00:00:00.001199",="29-Sep-17 3:53:44.558408 PM",-35.000 dBm (strong),
,231,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.239478",="29-Sep-17 3:53:45.797886 PM",-81.000 dBm (weak),
,232,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:53:45.798583 PM",-79.000 dBm (weak),
,233,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.484330",="29-Sep-17 3:53:48.282913 PM",-81.000 dBm (weak),
,234,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:53:48.283610 PM",-80.000 dBm (weak),
,235,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.253957",="29-Sep-17 3:53:49.537567 PM",-79.000 dBm (weak),
,236,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.498838",="29-Sep-17 3:53:52.036405 PM",-82.000 dBm (weak),
,237,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:53:52.037102 PM",-79.000 dBm (weak),
,238,1,    39 ,  39 ,SUCCESS,No,,1M,14,48,=" 00:00:00.001199",="29-Sep-17 3:53:52.038301 PM",-34.000 dBm (strong),
,239,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.478365",="29-Sep-17 3:53:54.516666 PM",-81.000 dBm (weak),
,240,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:53:54.517363 PM",-79.000 dBm (weak),
