Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,+PDU Type (LE ADV),
,1809,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="13-Nov-17 5:15:15.745305 PM",-38.000 dBm (medium),SCAN_REQ,
,1810,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:15:15.745631 PM",-35.000 dBm (strong),SCAN_RSP,
,1811,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:15:15.745901 PM",-42.000 dBm (medium),ADV_IND,
,1812,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.243034",="13-Nov-17 5:15:16.988935 PM",-36.000 dBm (strong),ADV_IND,
,1813,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.001394",="13-Nov-17 5:15:16.990329 PM",-42.000 dBm (medium),ADV_IND,
,1814,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.242835",="13-Nov-17 5:15:18.233164 PM",-36.000 dBm (strong),ADV_IND,
,1815,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:15:18.233861 PM",-35.000 dBm (strong),ADV_IND,
,1816,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="13-Nov-17 5:15:18.234364 PM",-38.000 dBm (medium),SCAN_REQ,
,1817,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:15:18.234689 PM",-35.000 dBm (strong),SCAN_RSP,
,1818,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:15:18.234960 PM",-42.000 dBm (medium),ADV_IND,
,1819,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.228412",="13-Nov-17 5:15:19.463372 PM",-37.000 dBm (medium),ADV_IND,
