Chan,Timestamp,RSSI
39,13-Nov-17 5:08:40.972206 PM,-43
37,13-Nov-17 5:08:42.217792 PM,-37
38,13-Nov-17 5:08:42.218490 PM,-36
38,13-Nov-17 5:08:42.218992 PM,-39
38,13-Nov-17 5:08:42.219318 PM,-36
39,13-Nov-17 5:08:42.219588 PM,-42
37,13-Nov-17 5:08:43.457721 PM,-37
37,13-Nov-17 5:08:43.458224 PM,-44
37,13-Nov-17 5:08:43.458550 PM,-37
38,13-Nov-17 5:08:43.458821 PM,-36
39,13-Nov-17 5:08:43.459518 PM,-43
37,13-Nov-17 5:08:44.695300 PM,-37
38,13-Nov-17 5:08:44.695997 PM,-35
38,13-Nov-17 5:08:44.696499 PM,-38
38,13-Nov-17 5:08:44.696825 PM,-36
39,13-Nov-17 5:08:44.697096 PM,-43
39,13-Nov-17 5:08:44.697599 PM,-83
39,13-Nov-17 5:08:44.697925 PM,-42
37,13-Nov-17 5:08:45.945878 PM,-37
38,13-Nov-17 5:08:45.946575 PM,-35
38,13-Nov-17 5:08:45.947078 PM,-38
38,13-Nov-17 5:08:45.947403 PM,-35
39,13-Nov-17 5:08:45.947674 PM,-43
37,13-Nov-17 5:08:47.184757 PM,-37
38,13-Nov-17 5:08:47.185454 PM,-35
38,13-Nov-17 5:08:47.185956 PM,-38
38,13-Nov-17 5:08:47.186282 PM,-36
39,13-Nov-17 5:08:47.186553 PM,-43
37,13-Nov-17 5:08:48.438035 PM,-37
38,13-Nov-17 5:08:48.438733 PM,-35
38,13-Nov-17 5:08:48.439235 PM,-38
38,13-Nov-17 5:08:48.439561 PM,-36
39,13-Nov-17 5:08:48.439831 PM,-43
37,13-Nov-17 5:08:49.678692 PM,-37
37,13-Nov-17 5:08:49.679195 PM,-44
37,13-Nov-17 5:08:49.679521 PM,-37
38,13-Nov-17 5:08:49.679792 PM,-36
39,13-Nov-17 5:08:49.680489 PM,-43
37,13-Nov-17 5:08:50.931071 PM,-37
37,13-Nov-17 5:08:50.931573 PM,-44
37,13-Nov-17 5:08:50.931899 PM,-37
38,13-Nov-17 5:08:50.932170 PM,-36
39,13-Nov-17 5:08:50.932867 PM,-43
37,13-Nov-17 5:08:52.173499 PM,-36
37,13-Nov-17 5:08:52.174002 PM,-44
37,13-Nov-17 5:08:52.174327 PM,-37
38,13-Nov-17 5:08:52.174598 PM,-35
39,13-Nov-17 5:08:52.175295 PM,-43
37,13-Nov-17 5:08:53.418628 PM,-36
37,13-Nov-17 5:08:53.419130 PM,-44
37,13-Nov-17 5:08:53.419456 PM,-37
38,13-Nov-17 5:08:53.419727 PM,-35
39,13-Nov-17 5:08:53.420424 PM,-43
